class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFRAMER 173Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 174Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 180Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 180Z,67%,20%,13%,0%,0%,4.53,4.22,67%,33%,0%,0%,0%,4.67,4.22,67%,20%,0%,13%,0%,4.40,4.10,21%,14%,29%,29%,7%,3.14,4.11,53%,27%,13%,7%,0%,4.27,4.25,5.21
AFRAMER 184X,77%,0%,8%,0%,15%,4.23,4.20,62%,15%,8%,0%,15%,4.08,4.18,58%,17%,0%,17%,8%,4.00,4.04,75%,8%,8%,0%,8%,4.42,4.07,100%,0%,0%,0%,0%,5.00,4.20,6.75
AFRAMER 187Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 189X,60%,20%,20%,0%,0%,4.40,4.22,40%,20%,20%,20%,0%,3.80,4.22,80%,0%,20%,0%,0%,4.60,4.10,80%,0%,20%,0%,0%,4.60,4.11,33%,33%,33%,0%,0%,4.00,4.25,3.20
AFRAMER 190X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 190X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 191X,100%,0%,0%,0%,0%,5.00,4.22,86%,0%,14%,0%,0%,4.71,4.22,57%,43%,0%,0%,0%,4.57,4.10,71%,29%,0%,0%,0%,4.71,4.11,67%,33%,0%,0%,0%,4.67,4.25,4.14
AFRAMER 192Y,57%,43%,0%,0%,0%,4.57,4.22,43%,43%,14%,0%,0%,4.29,4.22,43%,43%,14%,0%,0%,4.29,4.10,50%,17%,33%,0%,0%,4.17,4.11,100%,0%,0%,0%,0%,5.00,4.25,3.14
AFRAMER 197,60%,40%,0%,0%,0%,4.60,4.17,60%,30%,5%,5%,0%,4.45,4.16,70%,25%,5%,0%,0%,4.65,4.02,60%,35%,5%,0%,0%,4.55,4.03,60%,25%,15%,0%,0%,4.45,4.17,3.60
AFRAMER 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 217X,100%,0%,0%,0%,0%,5.00,4.23,100%,0%,0%,0%,0%,5.00,4.24,100%,0%,0%,0%,0%,5.00,4.09,100%,0%,0%,0%,0%,5.00,4.13,100%,0%,0%,0%,0%,5.00,4.24,7.80
AFRAMER 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 310 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 390 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 390 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 390 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
