class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
COMPSCI 316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPSCI 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB 91,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.22,50%,50%,0%,0%,0%,4.50,4.10,100%,0%,0%,0%,0%,5.00,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,13.00
CPB 91,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.22,50%,50%,0%,0%,0%,4.50,4.10,100%,0%,0%,0%,0%,5.00,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,13.00
CPB 99A,79%,14%,7%,0%,0%,4.71,4.20,63%,25%,13%,0%,0%,4.50,4.18,63%,25%,13%,0%,0%,4.50,4.04,50%,25%,25%,0%,0%,4.25,4.07,75%,0%,25%,0%,0%,4.50,4.20,18.92
CPB 99B,50%,14%,29%,7%,0%,4.07,4.22,40%,20%,30%,10%,0%,3.90,4.22,50%,0%,38%,13%,0%,3.88,4.10,45%,18%,27%,0%,9%,3.91,4.11,67%,0%,33%,0%,0%,4.33,4.25,20.80
CZCH AA,80%,20%,0%,0%,0%,4.80,4.26,60%,40%,0%,0%,0%,4.60,4.25,40%,60%,0%,0%,0%,4.40,4.10,60%,40%,0%,0%,0%,4.60,4.11,0%,100%,0%,0%,0%,4.00,4.22,5.60
CZCH AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCH BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCH BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCH CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCH CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 300 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 207,33%,50%,0%,17%,0%,4.00,4.18,60%,20%,0%,20%,0%,4.20,4.19,17%,50%,17%,17%,0%,3.67,4.05,33%,17%,33%,17%,0%,3.67,4.08,0%,33%,33%,33%,0%,3.00,4.22,7.50
DRB 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRB 330QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 6,21%,32%,18%,21%,8%,3.37,4.18,27%,22%,27%,19%,5%,3.46,4.19,16%,32%,18%,18%,16%,3.13,4.05,21%,39%,13%,21%,5%,3.50,4.08,29%,18%,29%,9%,15%,3.38,4.22,5.50
E-PSCI 10,80%,20%,0%,0%,0%,4.80,4.22,75%,10%,15%,0%,0%,4.60,4.22,65%,30%,5%,0%,0%,4.60,4.10,75%,15%,10%,0%,0%,4.65,4.11,65%,35%,0%,0%,0%,4.65,4.25,3.06
E-PSCI 50,47%,12%,29%,6%,6%,3.88,4.20,25%,25%,31%,13%,6%,3.50,4.18,6%,69%,13%,13%,0%,3.69,4.04,44%,50%,6%,0%,0%,4.38,4.07,69%,19%,13%,0%,0%,4.56,4.20,3.88
E-PSCI 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 53,50%,29%,7%,14%,0%,4.14,4.20,36%,29%,29%,7%,0%,3.93,4.18,50%,36%,0%,14%,0%,4.21,4.04,57%,21%,21%,0%,0%,4.36,4.07,77%,15%,0%,8%,0%,4.62,4.20,4.21
E-PSCI 54,17%,50%,33%,0%,0%,3.83,4.18,33%,50%,17%,0%,0%,4.17,4.19,33%,50%,17%,0%,0%,4.17,4.05,67%,17%,17%,0%,0%,4.50,4.08,50%,50%,0%,0%,0%,4.50,4.22,3.00
E-PSCI 56,50%,33%,8%,8%,0%,4.25,4.22,41%,27%,23%,9%,0%,4.00,4.22,14%,33%,43%,5%,5%,3.48,4.10,43%,22%,30%,4%,0%,4.04,4.11,48%,22%,26%,4%,0%,4.13,4.25,2.21
E-PSCI 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 101,46%,38%,15%,0%,0%,4.31,4.22,46%,42%,4%,8%,0%,4.27,4.22,27%,38%,19%,8%,8%,3.69,4.10,32%,36%,24%,8%,0%,3.92,4.11,60%,0%,40%,0%,0%,4.20,4.25,4.96
E-PSCI 102,0%,36%,45%,18%,0%,3.18,4.18,0%,50%,40%,10%,0%,3.40,4.19,0%,9%,73%,9%,9%,2.82,4.05,9%,73%,9%,9%,0%,3.82,4.08,27%,18%,18%,9%,27%,3.09,4.22,8.91
E-PSCI 110,43%,29%,14%,14%,0%,4.00,4.20,0%,43%,29%,14%,14%,3.00,4.18,43%,14%,43%,0%,0%,4.00,4.04,43%,14%,43%,0%,0%,4.00,4.07,57%,29%,14%,0%,0%,4.43,4.20,3.57
E-PSCI 112,60%,27%,7%,7%,0%,4.40,4.18,47%,27%,13%,13%,0%,4.07,4.19,53%,27%,7%,13%,0%,4.20,4.05,40%,53%,7%,0%,0%,4.33,4.08,60%,13%,27%,0%,0%,4.33,4.22,5.20
E-PSCI 120,50%,30%,20%,0%,0%,4.30,4.20,40%,40%,20%,0%,0%,4.20,4.18,20%,30%,30%,20%,0%,3.50,4.04,30%,40%,10%,20%,0%,3.80,4.07,67%,0%,33%,0%,0%,4.33,4.20,6.30
E-PSCI 131,61%,11%,22%,6%,0%,4.28,4.18,61%,28%,6%,0%,6%,4.39,4.19,44%,22%,28%,0%,6%,4.00,4.05,50%,28%,17%,0%,6%,4.17,4.08,50%,19%,25%,0%,6%,4.06,4.22,6.71
E-PSCI 133,79%,16%,5%,0%,0%,4.74,4.22,74%,11%,16%,0%,0%,4.58,4.22,68%,32%,0%,0%,0%,4.68,4.10,68%,21%,11%,0%,0%,4.58,4.11,78%,22%,0%,0%,0%,4.78,4.25,4.53
E-PSCI 138,0%,20%,20%,40%,20%,2.40,4.17,0%,20%,20%,40%,20%,2.40,4.16,0%,0%,20%,20%,60%,1.60,4.02,0%,20%,0%,80%,0%,2.40,4.03,0%,20%,20%,20%,40%,2.20,4.17,5.60
E-PSCI 139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 160,33%,25%,8%,25%,8%,3.50,4.17,42%,8%,33%,17%,0%,3.75,4.16,8%,33%,42%,17%,0%,3.33,4.02,67%,25%,8%,0%,0%,4.58,4.03,22%,22%,44%,11%,0%,3.56,4.17,6.58
E-PSCI 161,35%,45%,20%,0%,0%,4.15,4.18,30%,50%,15%,5%,0%,4.05,4.19,26%,37%,26%,11%,0%,3.79,4.05,37%,42%,16%,5%,0%,4.11,4.08,100%,0%,0%,0%,0%,5.00,4.22,4.30
E-PSCI 164,35%,41%,24%,0%,0%,4.12,4.20,41%,35%,18%,6%,0%,4.12,4.18,47%,24%,24%,0%,6%,4.06,4.04,56%,31%,13%,0%,0%,4.44,4.07,83%,17%,0%,0%,0%,4.83,4.20,5.12
E-PSCI 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 166,44%,44%,11%,0%,0%,4.33,4.18,43%,57%,0%,0%,0%,4.43,4.19,33%,67%,0%,0%,0%,4.33,4.05,13%,75%,13%,0%,0%,4.00,4.08,86%,14%,0%,0%,0%,4.86,4.22,4.00
E-PSCI 169,36%,55%,9%,0%,0%,4.27,4.23,40%,30%,30%,0%,0%,4.10,4.24,27%,55%,18%,0%,0%,4.09,4.09,36%,45%,0%,18%,0%,4.00,4.13,0%,100%,0%,0%,0%,4.00,4.24,5.11
E-PSCI 171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 187,22%,78%,0%,0%,0%,4.22,4.18,44%,44%,11%,0%,0%,4.33,4.19,0%,44%,44%,11%,0%,3.33,4.05,33%,11%,44%,11%,0%,3.67,4.08,22%,33%,33%,11%,0%,3.67,4.22,8.00
E-PSCI 200,60%,40%,0%,0%,0%,4.60,4.20,30%,40%,30%,0%,0%,4.00,4.18,33%,56%,0%,11%,0%,4.11,4.04,80%,20%,0%,0%,0%,4.80,4.07,100%,0%,0%,0%,0%,5.00,4.20,4.70
E-PSCI 220,50%,30%,20%,0%,0%,4.30,4.20,40%,40%,20%,0%,0%,4.20,4.18,20%,30%,30%,20%,0%,3.50,4.04,30%,40%,10%,20%,0%,3.80,4.07,67%,0%,33%,0%,0%,4.33,4.20,6.30
E-PSCI 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 237,64%,27%,9%,0%,0%,4.55,4.18,70%,30%,0%,0%,0%,4.70,4.19,64%,18%,9%,9%,0%,4.36,4.05,64%,18%,9%,9%,0%,4.36,4.08,N/A,N/A,N/A,N/A,N/A,NRP,4.22,6.60
E-PSCI 239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 275,50%,38%,13%,0%,0%,4.38,4.17,63%,13%,25%,0%,0%,4.38,4.16,50%,13%,25%,13%,0%,4.00,4.02,20%,40%,0%,20%,20%,3.20,4.03,0%,100%,0%,0%,0%,4.00,4.17,4.50
E-PSCI 286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 287,22%,78%,0%,0%,0%,4.22,4.18,44%,44%,11%,0%,0%,4.33,4.19,0%,44%,44%,11%,0%,3.33,4.05,33%,11%,44%,11%,0%,3.67,4.08,22%,33%,33%,11%,0%,3.67,4.22,8.00
E-PSCI 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
