class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFRAMER 130Y,44%,44%,11%,0%,0%,4.33,4.22,44%,22%,33%,0%,0%,4.11,4.22,63%,25%,13%,0%,0%,4.50,4.10,33%,44%,22%,0%,0%,4.11,4.11,33%,0%,33%,33%,0%,3.33,4.25,3.44
AFRAMER 135Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 136X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 146X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 156X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 160X,60%,40%,0%,0%,0%,4.60,4.22,80%,0%,20%,0%,0%,4.60,4.22,80%,0%,0%,20%,0%,4.40,4.10,75%,0%,25%,0%,0%,4.50,4.11,100%,0%,0%,0%,0%,5.00,4.25,1.80
AFRAMER 170Y,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.22,75%,13%,13%,0%,0%,4.63,4.10,88%,13%,0%,0%,0%,4.88,4.11,100%,0%,0%,0%,0%,5.00,4.25,4.71
AFRAMER 172X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 173Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 174Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 180Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 180Z,67%,20%,13%,0%,0%,4.53,4.22,67%,33%,0%,0%,0%,4.67,4.22,67%,20%,0%,13%,0%,4.40,4.10,21%,14%,29%,29%,7%,3.14,4.11,53%,27%,13%,7%,0%,4.27,4.25,5.21
AFRAMER 184X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
