class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
Direction of Doctoral Dissertations,ANTHRO 3500 011,['Nicholas Harkness'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13046,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 011,['Nicholas Harkness'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,12551,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 012,['Arthur Kleinman'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13047,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 012,['Arthur Kleinman'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,12552,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 013,['Peter Manuelian'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13048,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 013,['Matt Liebmann'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,12553,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 014,['Matt Liebmann'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13049,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 014,['Peter Manuelian'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13225,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 015,['Richard Meadow'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13050,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 015,['Richard Meadow'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13226,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 017,['Michael J. Puett'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13051,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 017,['Michael J. Puett'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13227,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 018,['Ajantha Subramanian'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,13900,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 018,['Malavika Reddy'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13506,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 019,['Jason Ur'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,15100,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 019,['Ajantha Subramanian'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13507,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 020,['Malavika Reddy'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,14850,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 020,['Jason Ur'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13508,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 022,['Christina Warinner'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,15101,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 022,['Christina Warinner'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13509,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 023,['E. Gabriella Coleman'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,15578,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ANTHRO 3500 023,['E. Gabriella Coleman'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,14827,111058,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Research Design/Proposal Writing,ANTHRO 3626,['E. Gabriella Coleman'],2023 Fall,Full Term,9/5/2023,12/5/2023,['W'],3:00pm,5:45pm,15189,116522,Instructor,0/12,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,,,,,,,,,,,,,,,
Anthropological Research Methods,ANTHRO 3628,,2024 Spring,Full Term,1/22/2024,4/24/2024,,,,16919,108949,Instructor,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Pedagogy in Anthropology,ANTHRO 3636,['Matt Liebmann'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13687,214587,No Consent,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,2,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Advanced Readings in Linguistic and Semiotic Anthropology,ANTHRO 3706,['Nicholas Harkness'],2023 Fall,Full Term,9/5/2023,12/5/2023,['M'],12:00pm,2:45pm,17605,222234,No Consent,,Faculty of Arts & Sciences,Anthropology,Anthropology,Cambridge Campus,4,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,No Limit,,,,,,,,,,,,,,
Systems Development for Computational Science,APCOMP 207,,2023 Fall,Full Term,9/5/2023,12/5/2023,"['T', 'Th']",2:15pm,3:30pm,15991,128105,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration, 12/11/2023 9:00 AM,No Limit,,,,,,,,,,,,,,
Data Science 1: Introduction to Data Science,APCOMP 209A,"['Pavlos Protopapas', 'Kevin A. Rader']",2023 Fall,Full Term,9/5/2023,12/5/2023,"['M', 'W', 'F']",9:45am,11:00am,14591,109898,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration, 12/20/2023 9:00 AM,No Limit,,,,,,,,,,,,,,
Data Science 2: Advanced Topics in Data Science,APCOMP 209B,"['Pavlos Protopapas', 'Alex Young']",2024 Spring,Full Term,1/22/2024,4/24/2024,"['M', 'W', 'F']",9:45am,11:00am,13947,203547,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Advanced Practical Data Science,APCOMP 215,['Pavlos Protopapas'],2023 Fall,Full Term,9/5/2023,12/5/2023,"['T', 'Th']",3:45pm,5:00pm,26917,215121,Instructor,0/100,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration, 12/13/2023 9:00 AM,,,,,,,,,,,,,,,
Critical Thinking in Data Science,APCOMP 221,['Michael Smith'],2024 Spring,Full Term,1/22/2024,4/24/2024,"['T', 'Th']",9:45am,11:00am,13948,207093,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Computational Design of Materials,APCOMP 275,['Boris Kozinsky'],2024 Spring,Full Term,1/22/2024,4/24/2024,"['T', 'Th']",10:30am,11:45am,15153,128103,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Computational Science and Engineering Capstone Project,APCOMP 297R,['Weiwei Pan'],2023 Fall,Full Term,9/5/2023,12/5/2023,['W'],12:45pm,3:30pm,14593,156202,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,No Limit,,,,,,,,,,,,,,
Computational Science and Engineering Capstone Project,APCOMP 297R,['Weiwei Pan'],2024 Spring,Full Term,1/22/2024,4/24/2024,['W'],12:45pm,3:30pm,16807,156202,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Interdisciplinary Seminar in Applied Computation,APCOMP 298R,['Weiwei Pan'],2023 Fall,Full Term,9/5/2023,12/5/2023,['F'],2:15pm,3:30pm,14588,109339,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,2,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,No Limit,,,,,,,,,,,,,,
Interdisciplinary Seminar in Applied Computation,APCOMP 298R,['Daniel Weinstock'],2024 Spring,Full Term,1/22/2024,4/24/2024,"['W', 'F']",2:15pm,3:30pm,14851,109339,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Allston Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Special Topics in Applied Computation,APCOMP 299R,['Daniel Weinstock'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,14589,109613,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Special Topics in Applied Computation,APCOMP 299R,['Daniel Weinstock'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13945,109613,No Consent,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Special Topics in Computational Science and Engineering,APCOMP 302,['Daniel Weinstock'],2023 Fall,Full Term,9/5/2023,12/5/2023,,,,14590,156535,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4-16,Thesis Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Special Topics in Computational Science and Engineering,APCOMP 302,['Daniel Weinstock'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,13946,156535,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4-16,Thesis Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
Academic Related Work for SEAS Graduate Students,APCOMP 399-TIME,['Daniel Weinstock'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,,,,14592,210893,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4-16,Reading and Research,FAS Ungraded,Not Available for Cross Registration,,No Limit,,,,,,,,,,,,,,
Academic Related Work for SEAS Graduate Students,APCOMP 399-TIME,['Daniel Weinstock'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,,,,13949,210893,Instructor,,Faculty of Arts & Sciences,Applied Computation,Applied Computation,Cambridge Campus,4-16,Reading and Research,FAS Ungraded,Not Available for Cross Registration,,No Limit,,,,,,,,,,,,,,
"Resources, Incentives, and Choices I: Markets and Market Failures",API 101 A,['Juan Saavedra'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",10:30am,11:45am,16811,170000,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration, 12/06/2023 2:00 PM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices I: Markets and Market Failures",API 101 B,['Pinar Doğan'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",10:30am,11:45am,16813,170000,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration, 12/06/2023 2:00 PM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices I: Markets and Market Failures",API 101 C,['Pinar Doğan'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",1:30pm,2:45pm,16815,170000,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration, 12/06/2023 2:00 PM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices I: Markets and Market Failures",API 101 Z,['Christopher Avery'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",10:30am,11:45am,16816,170000,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration, 12/06/2023 2:00 PM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 A,['Mark Shepard'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",9:00am,10:15am,16265,170002,Department,0/45,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 B,['Marcella Alsan'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",9:00am,10:15am,16266,170002,Department,0/42,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 I,"['Jason Furman', 'Robert Lawrence']",2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",9:00am,10:15am,16267,170002,Department,0/57,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 Z,['Juan Saavedra'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",9:00am,10:15am,16268,170002,Department,0/40,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Advanced Microeconomic Analysis I,API 109,['Luis Armona'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",10:30am,11:45am,16812,170005,No Consent,0/90,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/14/2023 9:00 AM,,In Person,,,,,,,,,,,International Development,,
Advanced Microeconomic Analysis II,API 110,['Jie Bai'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['T', 'Th']",10:30am,11:45am,16264,170007,No Consent,0/100,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,International Development,,
Microeconomic Theory I,API 111,['Luis Armona'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",1:30pm,2:45pm,16814,170008,No Consent,0/5,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/07/2023 9:00 AM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Microeconomic Theory II,API 112,"['Christopher Avery', 'Samuel Richardson']",2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",9:00am,10:15am,16269,170009,No Consent,0/5,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Econometric Methods for Applied Research I,API 114,['Gregory Bruich'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",1:30pm,2:45pm,16833,205389,Instructor,0/10,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Econometric Methods for Applied Research II,API 115,['Will Dobbie'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",1:30pm,2:45pm,16276,205503,No Consent,0/10,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Advanced Macroeconomics for the Open Economy I,API 119,['Jeffrey Frankel'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",1:30pm,2:45pm,16817,170011,No Consent,0/90,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/08/2023 2:00 PM,,In Person,,,,,,,,,,,International Development,,
Advanced Macroeconomics for the Open Economy II,API 120,"['Jeffrey Frankel', 'Federico Sturzenegger']",2024 Spring,Full Term,1/22/2024,4/26/2024,"['T', 'Th']",1:30pm,2:45pm,16270,170010,No Consent,0/100,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,International Development,,
"Recessions, Growth, and Macroeconomic Policy",API 121,['Karen Dynan'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['M', 'W']",12:00pm,1:15pm,16832,170012,No Consent,0/100,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
American Economic Policy,API 126,"['Jeffrey Liebman', 'Lawrence H. Summers']",2023 Fall,Full Term,9/5/2023,12/1/2023,"['T', 'Th']",12:00pm,1:15pm,16818,170015,No Consent,,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,No Limit,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Economics of Climate Change and Environmental Policy,API 135,['Robert Stavins'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",1:30pm,2:45pm,16271,170018,No Consent,0/25,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Finance,API 141,['Akash Deep'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",1:30pm,2:45pm,16819,170021,No Consent,0/100,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/06/2023 2:00 PM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Energy and Environmental Economics and Policy,API 165,['Joseph Aldy'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",3:00pm,4:15pm,16288,213637,No Consent,0/102,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
"Managing Climate Change Risks: Information, Incentives, and Institutions",API 170,['Joseph Aldy'],2024 Spring,Full Term,1/22/2024,4/26/2024,"['M', 'W']",10:30am,11:45am,16289,220567,No Consent,0/104,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Quantitative Analysis and Empirical Methods,API 201 A,['Jonathan Borck'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",9:00am,10:15am,16820,170029,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 11/08/2023 9:00 AM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Quantitative Analysis and Empirical Methods,API 201 B,['Theodore Svoronos'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",1:30pm,2:45pm,16821,170029,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/08/2023 9:00 AM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Quantitative Analysis and Empirical Methods,API 201 C,['Sharad Goel'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",1:30pm,2:45pm,16822,170029,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/08/2023 9:00 AM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Quantitative Analysis and Empirical Methods,API 201 D,['Charles Taylor'],2023 Fall,Full Term,8/30/2023,12/1/2023,"['T', 'Th']",9:00am,10:15am,16823,170029,Department,0/60,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,4,Lecture,HKS Letter Graded,Available for Harvard Cross Registration, 12/08/2023 9:00 AM,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Empirical Methods II,API 202M A,['Benjamin Schneer'],2024 Spring,Spring 1,1/22/2024,3/8/2024,"['T', 'Th']",10:30am,11:45am,16284,170031,Department,0/65,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,2,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Empirical Methods II,API 202M B,['Theodore Svoronos'],2024 Spring,Spring 1,1/22/2024,3/8/2024,"['T', 'Th']",10:30am,11:45am,16285,170031,Department,0/64,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,2,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Empirical Methods II,API 202M C,['Michela Carlana'],2024 Spring,Spring 1,1/22/2024,3/8/2024,"['T', 'Th']",10:30am,11:45am,16286,170031,Department,0/63,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,2,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Empirical Methods II,API 202M Z,['Tim Layton'],2024 Spring,Spring 1,1/22/2024,3/8/2024,"['T', 'Th']",10:30am,11:45am,16287,170031,Department,0/44,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,2,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
Empirical Methods II,API 203M A,['Benjamin Schneer'],2024 Spring,Spring 2,3/18/2024,4/26/2024,"['T', 'Th']",10:30am,11:45am,16290,220571,Department,0/65,Harvard Kennedy School,HKS Government,Analysis of Policies & Insts,,2,Lecture,HKS Letter Graded,Not Available for Cross Registration,,,In Person,,,,,,,,,,,"['Markets', 'Business', 'and Government']",,
