class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
Family Medicine Elective,AC 505M 1,['Katherine Miller'],2023 Fall,Full Term,7/5/2023,7/30/2023,,,,10110,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 1,,2024 Spring,Full Term,1/3/2024,1/28/2024,,,,17672,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 2,['Katherine Miller'],2023 Fall,Full Term,7/31/2023,8/27/2023,,,,10141,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,Not Available for Cross Registration,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 2,,2024 Spring,Full Term,1/29/2024,2/25/2024,,,,17934,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 3,,2023 Fall,Full Term,8/28/2023,9/24/2023,,,,25851,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 4,,2023 Fall,Full Term,9/25/2023,10/22/2023,,,,26072,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 4,,2024 Spring,Full Term,2/26/2024,3/24/2024,,,,18219,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 5,,2023 Fall,Full Term,10/23/2023,11/19/2023,,,,26366,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 6,,2023 Fall,Full Term,11/20/2023,12/17/2023,,,,26637,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 6,,2024 Spring,Full Term,4/1/2024,4/28/2024,,,,18506,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 7,,2024 Spring,Full Term,4/29/2024,5/26/2024,,,,18767,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 8,,2024 Spring,Full Term,5/28/2024,6/23/2024,,,,19015,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 3C,,2024 Spring,Full Term,2/26/2024,3/24/2024,,,,18037,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine Elective,AC 505M 5C,,2024 Spring,Full Term,4/1/2024,4/28/2024,,,,18318,214635,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
